序号,股票代码,股票名称,所属行业
261,002555,三七互娱,游戏
262,300454,深信服,横向通用软件
263,600606,绿地控股,住宅开发
264,601377,兴业证券,证券
265,002414,高德红外,军工电子
266,603899,晨光股份,文化用品
267,600219,南山铝业,铝
268,601236,红塔证券,证券
269,601966,玲珑轮胎,轮胎轮毂
270,601878,浙商证券,证券
271,300601,康泰生物,疫苗
272,000800,一汽解放,商用载货车
273,600061,国投资本,金融控股
274,600183,生益科技,印制电路板
275,002252,上海莱士,血液制品
276,688561,奇安信,横向通用软件
277,002064,华峰化学,氨纶
278,002007,华兰生物,疫苗
279,601216,君正集团,氯碱
280,002600,领益智造,消费电子零部件及组装
281,000977,浪潮信息,其他计算机设备
282,002032,苏泊尔,厨房小家电
283,300529,健帆生物,医疗耗材
284,002008,大族激光,激光设备
285,600489,中金黄金,黄金
286,600161,天坛生物,血液制品
287,000066,中国长城,其他计算机设备
288,002602,世纪华通,游戏
289,603882,金域医学,诊断服务
290,300003,乐普医疗,医疗耗材
291,000703,恒逸石化,炼油化工
292,600352,浙江龙盛,纺织化学制品
293,600655,豫园股份,商业物业经营
294,688169,石头科技,清洁小家电
295,002607,中公教育,培训教育
296,002568,百润股份,其他酒类
297,300866,安克创新,品牌消费电子
298,603160,汇顶科技,模拟芯片设计
299,002791,坚朗五金,其他建材
300,603087,甘李药业,其他生物制品
